Id,SalePrice
1461,122751.58664496217
1462,149982.88731912602
1463,182394.1842584177
1464,180105.80360138288
1465,199333.61229588342
1466,181477.4273022603
1467,161822.4376301291
1468,171938.7787127892
1469,185319.5216047039
1470,123086.57050535076
1471,204251.60068358397
1472,95890.77409943476
1473,99415.46315126975
1474,157470.75796085875
1475,153586.21413026916
1476,363300.0378066175
1477,250058.04010217
1478,310402.55695430416
1479,281839.25946837687
1480,418037.25609416456
1481,308501.50742001657
1482,207430.08868834144
1483,170573.82689158278
1484,178337.78973217946
1485,170563.79047741965
1486,197155.76930593856
1487,313143.6703224882
1488,244546.60870362323
1489,198000.24889202658
1490,189116.80488099792
1491,193347.42179050035
1492,100804.30133580462
1493,175136.44067671103
1494,298130.40691393946
1495,296996.74341507617
1496,229640.38737823692
1497,181407.20257989128
1498,161329.38574207044
1499,161204.53160965585
1500,144954.89890183765
1501,166980.26017398378
1502,163214.25893413596
1503,276783.1686410813
1504,228544.20161946444
1505,221445.00660801865
1506,175383.61510038626
1507,203614.27188381675
1508,199240.60685992165
1509,162804.82225774782
1510,150943.1852017497
1511,151393.37889956986
1512,166217.64114197882
1513,144573.2913460313
1514,154173.79602882845
1515,168625.9745080018
1516,160199.8077017751
1517,147844.12260135316
1518,129574.5313572373
1519,222858.8557282021
1520,138097.8165897208
1521,144324.92611079582
1522,163565.4690276125
1523,112860.81153409695
1524,120446.42409937999
1525,126741.25825037074
1526,126795.37667237318
1527,98445.66150345068
1528,126948.36092089671
1529,143284.2303024076
1530,167112.6147040537
1531,127330.32875587966
1532,105784.78196372658
1533,138964.76411404493
1534,115314.55078304962
1535,156524.97228451725
1536,119746.95483965895
1537,83665.78736699748
1538,186696.90516451737
1539,239234.01857542494
1540,120566.11137519633
1541,149068.88190804137
1542,142942.7450123507
1543,223567.97718486204
1544,80216.5688942785
1545,101401.03933719597
1546,119030.25004934068
1547,133866.141051281
1548,129332.32739368765
1549,107930.56025052567
1550,143001.43552477108
1551,119952.40568235004
1552,138069.49682560924
1553,136978.59538129225
1554,114410.20900537874
1555,162817.85307557255
1556,96919.08728865818
1557,127784.88681009389
1558,87138.5136664414
1559,113305.9956529033
1560,147734.6061489105
1561,139684.56367620226
1562,122875.71151812933
1563,122193.60345909404
1564,164030.95813898
1565,153901.85198815883
1566,215272.87527783652
1567,79444.0997171937
1568,213878.1454343134
1569,144583.6982941746
1570,122103.25155465011
1571,129342.3259632769
1572,144022.08107489636
1573,238747.40268041432
1574,136271.79693007408
1575,209422.28756787983
1576,204852.0341168937
1577,193648.4400674949
1578,144358.62419666458
1579,142064.99050050424
1580,192649.0408362216
1581,134885.41867589104
1582,127758.55905740231
1583,331371.63454825483
1584,238059.01155129928
1585,141611.71445522495
1586,73644.28438244335
1587,102868.86868310727
1588,147782.50181019877
1589,95461.6977349478
1590,134616.34216055568
1591,106295.78084094943
1592,120800.01469568256
1593,113481.11288099957
1594,116460.30704179108
1595,131295.81443011155
1596,236834.4180044624
1597,157976.97135052684
1598,179310.52383076484
1599,202111.2403903836
1600,196593.39789552163
1601,78843.29223389733
1602,109035.7848604025
1603,96172.97033781896
1604,277083.3575902817
1605,250083.31977919937
1606,164080.78717948808
1607,157559.36569394072
1608,209040.86249212414
1609,188019.17203403072
1610,157622.0674388986
1611,146735.28366871472
1612,164936.84568666917
1613,156802.0739455532
1614,125098.15524363902
1615,87054.34981116674
1616,85541.70909905751
1617,89843.05210786549
1618,125145.30920920396
1619,130067.30357884856
1620,145286.49603353106
1621,137493.7073597738
1622,147850.89919086103
1623,282665.5725648406
1624,206100.57822047896
1625,125088.54924154488
1626,171820.71374428796
1627,184897.72837708893
1628,281163.2457715951
1629,172852.94727289904
1630,313743.1760276397
1631,214154.33005705342
1632,249978.19498167266
1633,166952.0106725769
1634,179039.33571559406
1635,178006.20001414383
1636,153009.60713244512
1637,173325.47868821793
1638,215051.84651126954
1639,177766.56038286374
1640,248726.07066121427
1641,185316.65487092317
1642,216891.94965252824
1643,227260.86353657706
1644,222505.94167884268
1645,175835.53300719894
1646,153530.4515404034
1647,164697.0056455761
1648,139304.63947519806
1649,135556.5151200714
1650,121838.75601580265
1651,121517.33433784421
1652,96471.91333690044
1653,96871.195749723
1654,163236.4009934008
1655,164521.00099728696
1656,157109.36667433032
1657,159369.91733788943
1658,161398.11757710515
1659,156020.34306229412
1660,143774.14656840984
1661,419687.1614098251
1662,362090.46281337726
1663,367888.97569003573
1664,418784.6733852659
1665,315153.62581299554
1666,320665.9447036448
1667,338537.996597604
1668,329225.40918457013
1669,306082.5279963055
